,method,size,npmi,diversity_score,date
0,Kmeans,100,0.15675849192189728,0.799,2024-01-12
1,Kmeans,80,0.15663360632047213,0.8225,2024-01-12
2,Kmeans,50,0.16603688830715857,0.81,2024-01-12
3,Kmeans,30,0.1636157319757784,0.8333333333333334,2024-01-12
4,Kmeans,10,0.17563359079723292,0.9,2024-01-12
5,hdbscan,10,0.2151787016384169,0.8212765957446808,2024-01-12
6,hdbscan,20,0.20084369714659303,0.75,2024-01-12
7,hdbscan,30,0.22231003084390544,0.8068965517241379,2024-01-12
8,hdbscan,40,0.22886142004389395,0.9,2024-01-12
9,hdbscan,50,0.21415771900482097,0.89,2024-01-12
10,Kmeans,100,0.16477728798877178,0.719,2024-01-13
11,Kmeans,80,0.16926891501583893,0.74,2024-01-13
12,Kmeans,50,0.17711004057387206,0.716,2024-01-13
13,Kmeans,30,0.20184758812316606,0.7366666666666667,2024-01-13
14,Kmeans,10,0.2460355507338185,0.86,2024-01-13
15,hdbscan,10,0.19878089553180106,0.721978021978022,2024-01-13
16,hdbscan,20,0.18217885831634675,0.7363636363636363,2024-01-13
17,hdbscan,30,0.22565667630382033,0.8318181818181818,2024-01-13
18,hdbscan,40,0.2572124086339906,0.8583333333333333,2024-01-13
19,hdbscan,50,0.4158367404300156,0.775,2024-01-13
20,Kmeans,100,0.17641866058420294,0.687,2024-01-14
21,Kmeans,80,0.17603890826627686,0.6825,2024-01-14
22,Kmeans,50,0.19517956197276137,0.7,2024-01-14
23,Kmeans,30,0.20471783301746208,0.6866666666666666,2024-01-14
24,Kmeans,10,0.2448146632087243,0.8,2024-01-14
25,hdbscan,10,0.17384663696743718,0.6645454545454546,2024-01-14
26,hdbscan,20,0.1672505902150203,0.7842105263157895,2024-01-14
27,hdbscan,30,0.1949694269506446,0.8388888888888889,2024-01-14
28,hdbscan,40,0.18670101027958586,0.8615384615384616,2024-01-14
29,hdbscan,50,0.18425628653994203,0.8545454545454545,2024-01-14
30,Kmeans,100,0.16980638216402583,0.721,2024-01-15
31,Kmeans,80,0.17328173764873972,0.69625,2024-01-15
32,Kmeans,50,0.19968635335760193,0.7,2024-01-15
33,Kmeans,30,0.24363294027111213,0.68,2024-01-15
34,Kmeans,10,0.31360943525528323,0.79,2024-01-15
35,hdbscan,10,0.19882568203221404,0.730909090909091,2024-01-15
36,hdbscan,20,0.2243424665232726,0.8157894736842105,2024-01-15
37,hdbscan,30,0.22551172649029091,0.8625,2024-01-15
38,hdbscan,40,0.19827488400668508,0.8428571428571429,2024-01-15
39,hdbscan,50,0.19361198973176166,0.823076923076923,2024-01-15
40,Kmeans,100,0.1868957114075874,0.686,2024-01-16
41,Kmeans,80,0.18925279463790287,0.695,2024-01-16
42,Kmeans,50,0.21724419074386353,0.668,2024-01-16
43,Kmeans,30,0.22417253515119087,0.7333333333333333,2024-01-16
44,Kmeans,10,0.26262793067337714,0.75,2024-01-16
45,hdbscan,10,0.21595110734492268,0.6477064220183486,2024-01-16
46,hdbscan,20,0.19861422402320833,0.775,2024-01-16
47,hdbscan,30,0.2544494074326311,0.8777777777777778,2024-01-16
48,hdbscan,40,0.24512036373198237,0.8666666666666667,2024-01-16
49,hdbscan,50,0.22082074688747763,0.85,2024-01-16
50,Kmeans,100,0.17212725552923439,0.705,2024-01-17
51,Kmeans,80,0.16617178112927738,0.695,2024-01-17
52,Kmeans,50,0.19435458077933707,0.684,2024-01-17
53,Kmeans,30,0.21847020736286218,0.6866666666666666,2024-01-17
54,Kmeans,10,0.324899733361801,0.82,2024-01-17
55,hdbscan,10,0.21274325134679048,0.6854545454545454,2024-01-17
56,hdbscan,20,0.23569278516117537,0.790625,2024-01-17
57,hdbscan,30,0.229854027312971,0.8,2024-01-17
58,hdbscan,40,0.2513915212106807,0.8916666666666667,2024-01-17
59,hdbscan,50,0.4119436271629075,0.775,2024-01-17
60,Kmeans,100,0.18168161890020992,0.715,2024-01-18
61,Kmeans,80,0.17841575677591498,0.7,2024-01-18
62,Kmeans,50,0.22418794369716907,0.698,2024-01-18
63,Kmeans,30,0.22193785649391826,0.7566666666666667,2024-01-18
64,Kmeans,10,0.2767477989788515,0.79,2024-01-18
65,hdbscan,10,0.21202916679710215,0.6838095238095238,2024-01-18
66,hdbscan,20,0.18934933247534733,0.87,2024-01-18
67,hdbscan,30,0.3785203569689775,0.8666666666666667,2024-01-18
68,hdbscan,40,0.23602791759018546,0.9,2024-01-18
69,hdbscan,50,0.24986327897017707,0.89,2024-01-18
70,Kmeans,100,0.1514023574240739,0.747,2024-01-19
71,Kmeans,80,0.17015355555394887,0.74,2024-01-19
72,Kmeans,50,0.2118073396635566,0.736,2024-01-19
73,Kmeans,30,0.2572173181569725,0.7533333333333333,2024-01-19
74,Kmeans,10,0.2466242303075159,0.85,2024-01-19
75,hdbscan,10,0.19947299466975757,0.7142857142857143,2024-01-19
76,hdbscan,20,0.276797660597778,0.8541666666666666,2024-01-19
77,hdbscan,30,0.3218109130126334,0.8142857142857143,2024-01-19
78,hdbscan,40,0.32184844811147856,0.8,2024-01-19
79,hdbscan,50,0.2651455951056463,0.92,2024-01-19
80,Kmeans,100,0.20406806930898344,0.674,2024-01-20
81,Kmeans,80,0.19205900753908875,0.69375,2024-01-20
82,Kmeans,50,0.1920735687900094,0.678,2024-01-20
83,Kmeans,30,0.1939909561035351,0.7266666666666667,2024-01-20
84,Kmeans,10,0.2663283540169921,0.76,2024-01-20
85,hdbscan,10,0.2270678064540621,0.6803921568627451,2024-01-20
86,hdbscan,20,0.1808587888246328,0.727027027027027,2024-01-20
87,hdbscan,30,0.1751937264471599,0.745,2024-01-20
88,hdbscan,40,0.2738748746754698,0.8222222222222222,2024-01-20
89,hdbscan,50,0.2571192463444549,0.8222222222222222,2024-01-20
90,Kmeans,100,0.18191056567038583,0.695,2024-01-21
91,Kmeans,80,0.18702132858190898,0.67875,2024-01-21
92,Kmeans,50,0.22894884762887796,0.664,2024-01-21
93,Kmeans,30,0.23703093301420924,0.7333333333333333,2024-01-21
94,Kmeans,10,0.31303800166416257,0.72,2024-01-21
95,hdbscan,10,0.19147417236094375,0.6972972972972973,2024-01-21
